Census_year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading_name,Business_address,Number of patrons,Longitude,Latitude,Location
2020,66,105694,105694,233-237 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),The Emerald Peacock,233 Lonsdale Street MELBOURNE VIC 3000,300,144.96555,-37.81158,"-37.81158, 144.96555"
2020,66,105695,105695,239 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Ferdydurke,Level 1-2 239 Lonsdale Street MELBOURNE VIC 3000,100,144.96538,-37.81159,"-37.81159, 144.96538"
2020,66,109392,109392,Curtin House 248-258 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Rooftop Cinema & Bar,"Unit S15, Level 7 252 Swanston Street MELBOURNE VIC 3000",200,144.96527,-37.81199,"-37.81199, 144.96527"
2020,67,105673,105673,103-105 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Bomba Tapas Bar and Rooftop,Ground & Rooftop 103 Lonsdale Street MELBOURNE VIC 3000,145,144.96925,-37.81049,"-37.81049, 144.96925"
2020,67,105679,105679,131-137 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),True Colour Lounge,Part Level 1 128-130 Little Bourke Street MELBOURNE VIC 3000,170,144.96851,-37.81093,"-37.81093, 144.96851"
2020,74,106017,106017,391-393 Little Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),La La Land,Level 1 391 Little Lonsdale Street MELBOURNE VIC 3000,175,144.96034,-37.81187,"-37.81187, 144.96034"
2020,76,589841,105749,QV Retail & Parking 221 Little Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Idarts Hive,243 Little Lonsdale Street MELBOURNE VIC 3000,100,144.96573,-37.81068,"-37.81068, 144.96573"
2020,78,110724,580091,17 Casselden Place MELBOURNE VIC 3000,Melbourne (CBD),Little Lon Distilling Co.,17 Casselden Place MELBOURNE VIC 3000,20,144.97073,-37.8092,"-37.8092, 144.97073"
2020,85,105746,105746,Melbourne Central 183-265 La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Party World Karaoke Bar,"Shop 301, Level 3 300 Lonsdale Street MELBOURNE VIC 3000",500,144.96284,-37.8109,"-37.8109, 144.96284"
2020,85,105746,105746,Melbourne Central 183-265 La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Hoyts,Cinema Level 3 300 Lonsdale Street MELBOURNE VIC 3000,300,144.96284,-37.8109,"-37.8109, 144.96284"
2020,85,105746,105746,Melbourne Central 183-265 La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Strike Melbourne Central,"Shop 305, Level 3 300 Lonsdale Street MELBOURNE VIC 3000",760,144.96284,-37.8109,"-37.8109, 144.96284"
2020,85,109302,109302,281-287 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Bornga,Level 1 258 Lonsdale Street MELBOURNE VIC 3000,40,144.96436,-37.81143,"-37.81143, 144.96436"
2020,103,104086,104086,211-213 Franklin Street MELBOURNE VIC 3000,Melbourne (CBD),Island Somewhere/Pinball Paradise,211-213 Franklin Street MELBOURNE VIC 3000,120,144.95784,-37.80968,"-37.80968, 144.95784"
2020,104,103219,103219,413-417 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Workshop,Level 1 413-417 Elizabeth Street MELBOURNE VIC 3000,230,144.96052,-37.80919,"-37.80919, 144.96052"
2020,216,102714,102714,350-352 Drummond Street CARLTON VIC 3053,Carlton,Taquito,Front 350-352 Drummond Street CARLTON VIC 3053,70,144.96927,-37.79771,"-37.79771, 144.96927"
2020,242,104461,104461,Prince Alfred Hotel 191-197 Grattan Street CARLTON VIC 3053,Carlton,The Prince Alfred Rooftop and Bar,Prince Alfred Hotel 191-197 Grattan Street CARLTON VIC 3053,492,144.96221,-37.80046,"-37.80046, 144.96221"
2020,255,101593,101593,Lincoln Hotel 91-95 Cardigan Street CARLTON VIC 3053,Carlton,Hotel Lincoln,Lincoln Hotel 91 Cardigan Street CARLTON VIC 3053,154,144.96451,-37.80449,"-37.80449, 144.96451"
2020,268,108154,108153,Montefiore House Exhibition Mews 49 Rathdowne Street CARLTON VIC 3053,Carlton,Epocha Restaurant,Montefiore House Exhibition Mews 49 Rathdowne Street CARLTON VIC 3053,124,144.96856,-37.80577,"-37.80577, 144.96856"
2020,270,579293,104468,University House Building 112 230 Grattan Street PARKVILLE VIC 3010,Parkville,University House Club,University House Building 112 230 Grattan Street PARKVILLE VIC 3010,611,144.96121,-37.79677,"-37.79677, 144.96121"
2020,347,110920,110920,Limerick Castle Hotel & Restaurant 161-163 Errol Street NORTH MELBOURNE VIC 3051,North Melbourne,Limerick Castle Hotel & Restaurant,Limerick Castle Hotel & Restaurant 161-163 Errol Street NORTH MELBOURNE VIC 3051,50,144.94964,-37.80116,"-37.80116, 144.94964"
2020,358,109829,109829,Victoria Hotel 312-316 Victoria Street NORTH MELBOURNE VIC 3051,North Melbourne,Queen Victoria Hostel,Victoria Hotel 312-316 Victoria Street NORTH MELBOURNE VIC 3051,130,144.95571,-37.80563,"-37.80563, 144.95571"
2020,362,109843,109843,232-238 Victoria Street MELBOURNE VIC 3000,North Melbourne,The Last Chance Rock & Roll Bar,238 Victoria Street MELBOURNE VIC 3000,180,144.95859,-37.80593,"-37.80593, 144.95859"
2020,369,103507,103507,Court House Hotel 86-90 Errol Street NORTH MELBOURNE VIC 3051,North Melbourne,Court House Hotel,Court House Hotel 86-90 Errol Street NORTH MELBOURNE VIC 3051,50,144.94996,-37.80288,"-37.80288, 144.94996"
2020,424,109709,109709,313 Victoria Street WEST MELBOURNE VIC 3003,West Melbourne (Residential),Westwood Coffee & Wine,Ground 313 Victoria Street WEST MELBOURNE VIC 3003,50,144.95109,-37.80557,"-37.80557, 144.95109"
2020,435,107481,107481,65-67 Peel Street WEST MELBOURNE VIC 3003,West Melbourne (Residential),The Drunken Poet Pty Ltd,Ground 65 Peel Street WEST MELBOURNE VIC 3003,50,144.9555,-37.80667,"-37.80667, 144.9555"
2020,441,108856,108856,Hotel Spencer 475-477 Spencer Street WEST MELBOURNE VIC 3003,West Melbourne (Residential),Hotel Spencer Bar & Grill,Ground 475 Spencer Street WEST MELBOURNE VIC 3003,150,144.94925,-37.80957,"-37.80957, 144.94925"
2020,658,110266,110266,MCG 120 Brunton Avenue EAST MELBOURNE VIC 3002,East Melbourne,Spotless Services,Part MCG 120 Brunton Avenue EAST MELBOURNE VIC 3002,2800,144.98319,-37.82001,"-37.82001, 144.98319"
2020,724,106798,106798,557 St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),Ormond Collective,Part 557 St Kilda Road MELBOURNE VIC 3004,350,144.98152,-37.84747,"-37.84747, 144.98152"
2020,730,110401,110401,334-342 City Road SOUTHBANK VIC 3006,Southbank,Urban Central Accomodation/Bar334,Pt Ground & Levels 1-5 334-342 City Road SOUTHBANK VIC 3006,290,144.95735,-37.82784,"-37.82784, 144.95735"
2020,733,110399,110399,105-107 Clarendon Street SOUTHBANK VIC 3006,Southbank,The Cloakroom Bar,Level 46 105 Clarendon Street SOUTHBANK VIC 3006,50,144.95826,-37.82713,"-37.82713, 144.95826"
2020,752,108653,110733,Theatres 100 St Kilda Road SOUTHBANK VIC 3006,Southbank,The Barre,100 St Kilda Road SOUTHBANK VIC 3006,300,144.96817,-37.82094,"-37.82094, 144.96817"
2020,753,110606,110380,Southgate 3 Southgate Avenue SOUTHBANK VIC 3006,Southbank,P J O'Briens Irish Pub & Side Bar,"Shop 12-16, Ground 3 Southgate Avenue SOUTHBANK VIC 3006",549,144.9663,-37.82072,"-37.82072, 144.9663"
2020,803,111175,110477,Crown Entertainment Complex 8 Whiteman Street SOUTHBANK VIC 3006,Southbank,The Pub at Crown,Part Casino 8 Whiteman Street SOUTHBANK VIC 3006,650,144.95833,-37.82316,"-37.82316, 144.95833"
2020,803,111175,110477,Crown Entertainment Complex 8 Whiteman Street SOUTHBANK VIC 3006,Southbank,Crown Entertainment Complex,Crown Entertainment Complex Crown Casino 8 Whiteman Street SOUTHBANK VIC 3006,320,144.95833,-37.82316,"-37.82316, 144.95833"
